state,rate,bracket
"Alabama (a, f)",0.0019,10000000000
Alaska,0,10000000000
Arizona,0,10000000000
"Arkansas (d, e)",0,10000000000
"California (a, e)",0,10000000000
Colorado,0.000001,10000000000
"Connecticut (a, t)",0,10000000000
Delaware (v),0.0016,10000000000
Florida,0,10000000000
Georgia,0,10000000000
Hawaii (w),0,10000000000
Idaho (e),0,10000000000
Illinois,0,10000000000
Indiana,0.0116,10000000000
Iowa (f),0.003,10000000000
Kansas,0.000001,10000000000
Kentucky,0.0076,10000000000
Louisiana (f),0,10000000000
Maine (e),0,10000000000
Maryland,0.0298,10000000000
Mass.,0,10000000000
Michigan,0.0044,10000000000
Minn.,0,10000000000
Mississippi,0,10000000000
Missouri (f),0.0012,10000000000
"Montana (a, e, f)",0,10000000000
Nebraska,0,10000000000
Nevada,0,10000000000
New Hampshire (c),0,10000000000
New Jersey,0,10000000000
New Mexico,0,10000000000
New York,0.017,10000000000
North Carolina,0,10000000000
North Dakota (e),0,10000000000
"Ohio (a, e)",0.0182,10000000000
Oklahoma (a),0,10000000000
"Oregon (a, e, f, j)",0,10000000000
Pennsylvania,0.0125,10000000000
Rhode Island (e),0,10000000000
South Dakota,0,10000000000
South Carolina (e),0,10000000000
Tenn.(c),0,10000000000
Texas,0,10000000000
Utah,0,10000000000
Vermont,0,10000000000
Virginia,0,10000000000
Washington,0,10000000000
West Virginia (a),0,10000000000
Wisconsin (e),0,10000000000
Wyoming,0,10000000000
D.C.,0,10000000000
