age,year,yos,gross
23,2012,0,68126
24,2013,1,73059
26,2014,2,80073
27,2015,3,92145
28,2016,4,95217
29,2017,5,98289
30,2018,6,101361
31,2019,7,108887
32,2020,8,112517
33,2021,9,116146
34,2022,10,119776
35,2023,11,119776
36,2024,12,123406
37,2025,13,128082
38,2026,14,132352
39,2027,15,136622
40,2028,16,140892
41,2029,17,140892
42,2030,18,145162
43,2031,19,145162
44,2032,20,149432
45,2033,21,149432
46,2034,22,153702
47,2035,23,153702
48,2036,24,153702
49,2037,25,157971
50,2038,26,157971
51,2039,27,157971
52,2040,28,160300
53,2041,29,160300
54,2042,30,160300
55,2043,31,160300
56,2044,32,160300
57,2045,33,160300
58,2046,34,160300
59,2047,35,160300
60,2048,36,160300
61,2049,37,160300
62,2050,38,160300
63,2051,39,160300
64,2052,40,160300
65,2053,41,160300
66,2054,42,160300
67,2055,43,160300
68,2056,44,160300
69,2057,45,160300
70,2058,46,160300
71,2059,47,160300
72,2060,48,160300
73,2061,49,160300
74,2062,50,160300
75,2063,51,160300
76,2064,52,160300
77,2065,53,160300
78,2066,54,160300
79,2067,55,160300
80,2068,56,160300
81,2069,57,160300
82,2070,58,160300
83,2071,59,160300
84,2072,60,160300
85,2073,61,160300
86,2074,62,160300
87,2075,63,160300
88,2076,64,160300
89,2077,65,160300
90,2078,66,160300
91,2079,67,160300
92,2080,68,160300
93,2081,69,160300
94,2082,70,160300
95,2083,71,160300
