age,year,yos,gross,tsp,roth,trad,hsa,taxable,mortgage
24,2009,0,128126,5206,0,0,0,0,0
25,2010,1,85059,3653,0,0,0,0,0
26,2011,2,123359,6518,0,0,0,0,0
27,2012,3,144872,19007,0,0,0,0,0
28,2013,4,153224,15588,0,0,0,0,0
29,2014,5,161887,10110,5500,0,0,0,0
30,2015,6,163057,17444,11000,0,0,0,0
31,2016,7,170776,36000,11000,0,5250,25000,277688
32,2017,8,172572.64,36000,11000,0,5250,0,265718
33,2018,9,174396.2296,36000,11000,0,5250,0,254190
34,2019,10,176247.173,36000,11000,0,5250,0,242193
35,2020,11,178125.8806,36000,11000,0,5250,0,229707
36,2021,12,180032.7688,36000,11000,0,5250,0,216712
37,2022,13,181968.2604,36000,11000,0,5250,0,203188
38,2023,14,183932.7843,36000,11000,0,5250,0,189113
39,2024,15,185926.7761,36000,11000,0,5250,0,174464
40,2025,16,187950.6777,36000,11000,0,5250,0,159218
41,2026,17,190004.9379,36000,11000,0,5250,0,143352
42,2027,18,192090.0119,36000,11000,0,5250,0,126839
43,2028,19,194206.3621,36000,11000,0,5250,0,109653
44,2029,20,196354.4575,36000,11000,0,5250,0,91767
45,2030,21,198534.7744,36000,11000,0,5250,0,73152
46,2031,22,200747.796,36000,11000,0,5250,0,53779
47,2032,23,202994.013,36000,11000,0,5250,0,33617
48,2033,24,205273.9232,36000,11000,0,5250,0,12633
49,2034,25,207588.032,36000,11000,0,5250,0,0
50,2035,26,209936.8525,36000,11000,0,5250,0,0
51,2036,27,212320.9053,36000,11000,0,5250,0,0
52,2037,28,212320.9053,36000,11000,0,5250,0,0
53,2038,29,212320.9053,36000,11000,0,5250,0,0
54,2039,30,212320.9053,36000,11000,0,5250,0,0
55,2040,31,212320.9053,36000,11000,0,5250,0,0
56,2041,32,212320.9053,36000,11000,0,5250,0,0
57,2042,33,212320.9053,36000,11000,0,5250,0,0
58,2043,34,212320.9053,36000,11000,0,5250,0,0
59,2044,35,212320.9053,36000,11000,0,5250,0,0
60,2045,36,212320.9053,36000,11000,0,5250,0,0
61,2046,37,212320.9053,36000,11000,0,5250,0,0
62,2047,38,212320.9053,36000,11000,0,5250,0,0
63,2048,39,212320.9053,36000,11000,0,5250,0,0
64,2049,40,212320.9053,36000,11000,0,5250,0,0
65,2050,41,212320.9053,36000,11000,0,5250,0,0
66,2051,42,212320.9053,36000,11000,0,5250,0,0
67,2052,43,212320.9053,36000,11000,0,5250,0,0
68,2053,44,212320.9053,36000,11000,0,5250,0,0
69,2054,45,212320.9053,36000,11000,0,5250,0,0
70,2055,46,212320.9053,36000,11000,0,5250,0,0
71,2056,47,212320.9053,36000,11000,0,5250,0,0
72,2057,48,212320.9053,36000,11000,0,5250,0,0
73,2058,49,212320.9053,36000,11000,0,5250,0,0
74,2059,50,212320.9053,36000,11000,0,5250,0,0
75,2060,51,212320.9053,36000,11000,0,5250,0,0
76,2061,52,212320.9053,36000,11000,0,5250,0,0
77,2062,53,212320.9053,36000,11000,0,5250,0,0
78,2063,54,212320.9053,36000,11000,0,5250,0,0
79,2064,55,212320.9053,36000,11000,0,5250,0,0
80,2065,56,212320.9053,36000,11000,0,5250,0,0
81,2066,57,212320.9053,36000,11000,0,5250,0,0
82,2067,58,212320.9053,36000,11000,0,5250,0,0
83,2068,59,212320.9053,36000,11000,0,5250,0,0
84,2069,60,212320.9053,36000,11000,0,5250,0,0
85,2070,61,212320.9053,36000,11000,0,5250,0,0
86,2071,62,212320.9053,36000,11000,0,5250,0,0
87,2072,63,212320.9053,36000,11000,0,5250,0,0
88,2073,64,212320.9053,36000,11000,0,5250,0,0
89,2074,65,212320.9053,36000,11000,0,5250,0,0
90,2075,66,212320.9053,36000,11000,0,5250,0,0
91,2076,67,212320.9053,36000,11000,0,5250,0,0
92,2077,68,212320.9053,36000,11000,0,5250,0,0
93,2078,69,212320.9053,36000,11000,0,5250,0,0
94,2079,70,212320.9053,36000,11000,0,5250,0,0
95,2080,71,212320.9053,36000,11000,0,5250,0,0
96,2081,72,161320.9053,36000,11000,0,5250,0,0
97,2082,73,161320.9053,36000,11000,0,5250,0,0
98,2083,74,161320.9053,36000,11000,0,5250,0,0
99,2084,75,161320.9053,36000,11000,0,5250,0,0
100,2085,76,161320.9053,36000,11000,0,5250,0,0
