"age" "gross" "net" "pens" "ss" "tspT_bal" "tspR_bal" "tradIRA_bal" "rothIRA_bal" "hsa_bal" "tax_bal" "avail" "efc" "mortgage"
"1" 39 45000 45000 0 0 616104.447312942 0 0 179461.162492122 52639.4626777442 0 90881.583022044 24802.6195731885 174464
"2" 40 45000 45000 0 0 593450.631619507 0 0 194643.25867581 55271.4358116314 0 44762.5200215063 24802.6195731885 159218
"3" 41 44762.5200215063 44762.5200215063 0 0 569664.125141401 0 0 210833.813646101 58035.0076022129 0 0 24693.2362950943 143352
"4" 42 0 0 0 0 544688.293339389 0 0 274834.542387488 60936.7579823236 0 0 5203.9567579248 126839
"5" 43 0 0 0 0 518463.669947276 0 0 342035.307565944 63983.5958814398 0 0 5203.9567579248 109653
"6" 44 45000 45000 0 0 490927.815385558 0 0 365346.111003323 67182.7756755117 0 0 24802.6195731885 91767
"7" 45 45000 45000 0 0 462015.168095754 0 0 389822.454612572 70541.9144592873 0 0 24802.6195731885 73152
"8" 46 45000 45000 0 0 431656.88844146 0 0 415522.615402282 74069.0101822517 0 0 24802.6195731885 53779
"9" 47 45000 45000 0 0 399780.694804451 0 0 442507.784231478 77772.4606913643 0 0 24802.6195731885 33617
"10" 48 45000 45000 0 0 366310.691485591 0 0 470842.211502134 81661.0837259325 0 0 24802.6195731885 12633
"11" 49 45000 45000 0 0 331167.188000789 0 0 500593.360136323 85744.1379122291 0 0 24802.6195731885 0
"12" 50 45000 45000 0 0 294266.509341746 0 0 531832.066202221 90031.3448078406 0 0 24802.6195731885 0
"13" 51 45000 45000 0 0 255520.796749752 0 0 564632.707571414 94532.9120482326 0 0 24802.6195731885 0
"14" 52 45000 45000 0 0 214837.798528157 0 0 599073.381009067 99259.5576506443 0 0 24802.6195731885 0
"15" 53 45000 45000 0 0 172120.650395483 0 0 635236.088118603 104222.535533176 0 0 24802.6195731885 0
"16" 54 45000 45000 0 0 127267.644856175 0 0 673206.930583615 109433.662309835 0 0 24802.6195731885 0
"17" 55 45000 45000 0 0 133631.027098984 0 0 659617.277112795 114905.345425327 0 0 5024.7087 0
"18" 56 45000 45000 0 0 140312.578453933 0 0 645348.140968435 120650.612696593 0 0 5024.7087 0
"19" 57 45000 44740.0690992992 12949.3090070079 0 147328.20737663 0 0 643962.322474215 126683.143331423 0 0 4949.32873879677 0
"20" 58 45000 44771.6527798041 12633.4722019589 0 154694.617745461 0 0 642175.584409983 133017.300497994 0 0 4958.48800614319 0
"21" 59 45000 44802.4661266382 12325.3387336184 0 162429.348632734 0 0 639975.969300781 139668.165522894 0 0 4967.42387672507 0
"22" 60 45000 40710 12024.7207157253 0 135926.772815883 0 0 671974.76776582 146651.573799039 0 807901.540581703 3883.0075 0
