state,type,rate,bracket,cumBracket
Alabama,single,0.02,500,500
Alabama,single,0.04,3000,3500
Alabama,single,0.05,Inf,Inf
Alabama,joint,0.02,1000,1000
Alabama,joint,0.04,6000,7000
Alabama,joint,0.05,Inf,Inf
Alaska,single,0,Inf,Inf
Alaska,joint,0,Inf,Inf
Arizona,single,0.0259,10000,10000
Arizona,single,0.0288,25000,35000
Arizona,single,0.0336,50000,85000
Arizona,single,0.0424,150000,235000
Arizona,single,0.0454,Inf,Inf
Arizona,joint,0.0259,20000,20000
Arizona,joint,0.0288,50000,70000
Arizona,joint,0.0336,1.00E+05,170000
Arizona,joint,0.0424,3.00E+05,470000
Arizona,joint,0.0454,Inf,Inf
Arkansas,single,0.01,4199,4199
Arkansas,single,0.025,8299,12498
Arkansas,single,0.035,12399,24897
Arkansas,single,0.045,20699,45596
Arkansas,single,0.06,34599,80195
Arkansas,single,0.07,Inf,Inf
Arkansas,joint,0.01,4199,4199
Arkansas,joint,0.025,8299,12498
Arkansas,joint,0.035,12399,24897
Arkansas,joint,0.045,20699,45596
Arkansas,joint,0.06,34599,80195
Arkansas,joint,0.07,Inf,Inf
California,single,0.01,7582,7582
California,single,0.02,17976,25558
California,single,0.04,28371,53929
California,single,0.06,39384,93313
California,single,0.08,49774,143087
California,single,0.093,254250,397337
California,single,0.103,305100,702437
California,single,0.113,508500,1210937
California,single,0.123,1.00E+06,2210937
California,single,0.133,Inf,Inf
California,joint,0.01,15174,15174
California,joint,0.02,35952,51126
California,joint,0.04,46346,97472
California,joint,0.06,57359,154831
California,joint,0.08,67751,222582
California,joint,0.093,345780,568362
California,joint,0.103,414936,983298
California,joint,0.113,691560,1674858
California,joint,0.123,1.00E+06,2674858
California,joint,0.133,Inf,Inf
Colorado,single,0.0463,Inf,Inf
Colorado,joint,0.0463,Inf,Inf
Connecticut,single,0.03,10000,10000
Connecticut,single,0.05,50000,60000
Connecticut,single,0.055,1.00E+05,160000
Connecticut,single,0.06,2.00E+05,360000
Connecticut,single,0.065,250000,610000
Connecticut,single,0.067,Inf,Inf
Connecticut,joint,0.03,20000,20000
Connecticut,joint,0.05,1.00E+05,120000
Connecticut,joint,0.055,2.00E+05,320000
Connecticut,joint,0.06,4.00E+05,720000
Connecticut,joint,0.065,5.00E+05,1220000
Connecticut,joint,0.067,Inf,Inf
Delaware,single,0.022,5000,5000
Delaware,single,0.039,10000,15000
Delaware,single,0.048,20000,35000
Delaware,single,0.052,25000,60000
Delaware,single,0.0555,60000,120000
Delaware,single,0.066,Inf,Inf
Delaware,joint,0.022,5000,5000
Delaware,joint,0.039,10000,15000
Delaware,joint,0.048,20000,35000
Delaware,joint,0.052,25000,60000
Delaware,joint,0.0555,60000,120000
Delaware,joint,0.066,Inf,Inf
Florida,single,0,Inf,Inf
Florida,joint,0,Inf,Inf
Georgia,single,0.01,750,750
Georgia,single,0.02,2250,3000
Georgia,single,0.03,3750,6750
Georgia,single,0.04,5250,12000
Georgia,single,0.05,7000,19000
Georgia,single,0.06,Inf,Inf
Georgia,joint,0.01,1000,1000
Georgia,joint,0.02,3000,4000
Georgia,joint,0.03,5000,9000
Georgia,joint,0.04,7000,16000
Georgia,joint,0.05,10000,26000
Georgia,joint,0.06,Inf,Inf
Hawaii,single,0.014,2400,2400
Hawaii,single,0.032,4800,7200
Hawaii,single,0.055,9600,16800
Hawaii,single,0.064,14400,31200
Hawaii,single,0.068,19200,50400
Hawaii,single,0.072,24000,74400
Hawaii,single,0.076,36000,110400
Hawaii,single,0.079,48000,158400
Hawaii,single,0.0825,150000,308400
Hawaii,single,0.09,175000,483400
Hawaii,single,0.1,2.00E+05,683400
Hawaii,single,0.11,Inf,Inf
Hawaii,joint,0.014,4800,4800
Hawaii,joint,0.032,9600,14400
Hawaii,joint,0.055,19200,33600
Hawaii,joint,0.064,28800,62400
Hawaii,joint,0.068,38400,100800
Hawaii,joint,0.072,48000,148800
Hawaii,joint,0.076,72000,220800
Hawaii,joint,0.079,96000,316800
Hawaii,joint,0.0825,3.00E+05,616800
Hawaii,joint,0.09,350000,966800
Hawaii,joint,0.1,4.00E+05,1366800
Hawaii,joint,0.11,Inf,Inf
Idaho,single,0.016,1408,1408
Idaho,single,0.036,2817,4225
Idaho,single,0.041,4226,8451
Idaho,single,0.051,5635,14086
Idaho,single,0.061,7044,21130
Idaho,single,0.071,10567,31697
Idaho,single,0.074,Inf,Inf
Idaho,joint,0.016,2817,2817
Idaho,joint,0.036,5635,8452
Idaho,joint,0.041,8453,16905
Idaho,joint,0.051,11271,28176
Idaho,joint,0.061,14089,42265
Idaho,joint,0.071,21136,63401
Idaho,joint,0.074,Inf,Inf
Illinois,single,0.05,Inf,Inf
Illinois,joint,0.05,Inf,Inf
Indiana,single,0.034,Inf,Inf
Indiana,joint,0.034,Inf,Inf
Iowa,single,0.0036,1515,1515
Iowa,single,0.0072,3030,4545
Iowa,single,0.0243,6060,10605
Iowa,single,0.045,13635,24240
Iowa,single,0.0612,22725,46965
Iowa,single,0.0648,30300,77265
Iowa,single,0.068,45450,122715
Iowa,single,0.0792,68175,190890
Iowa,single,0.0898,Inf,Inf
Iowa,joint,0.0036,1515,1515
Iowa,joint,0.0072,3030,4545
Iowa,joint,0.0243,6060,10605
Iowa,joint,0.045,13635,24240
Iowa,joint,0.0612,22725,46965
Iowa,joint,0.0648,30300,77265
Iowa,joint,0.068,45450,122715
