state,below,above
Alabama,3%,2%
Alaska,2%,1%
American Samoa,2%,1%
Arizona,4%,3%
Arkansas,4%,3%
California,7%,6%
Canada,2%,1%
Colorado,4%,3%
Connecticut,8%,7%
Delaware,5%,4%
District of Columbia,7%,6%
Micronesia,2%,1%
Florida,3%,2%
Georgia,5%,4%
Guam,2%,1%
Hawaii,5%,4%
Idaho,5%,4%
Illinois,6%,5%
Indiana,4%,3%
Iowa,5%,4%
Kansas,5%,4%
Kentucky,5%,4%
Lousiana,3%,2%
Maine,6%,5%
Marshall Islands,2%,1%
Maryland,8%,7%
Massachussetts,6%,5%
Mexico,2%,1%
Michigan,4%,3%
Minessota,6%,5%
Mississippi,3%,2%
Missouri,4%,3%
Montana,4%,3%
Nebraska,5%,4%
Nevada,2%,1%
New Hampshire,5%,4%
New Jersey,9%,8%
New Mexico,3%,2%
New York,9%,8%
North Carolina,5%,4%
North Dakota,2%,1%
Northern Mariana,2%,1%
Ohio,5%,4%
Oklahoma,3%,2%
Oregon,7%,6%
Palau,2%,1%
Pennsylvania,5%,4%
Puerto Rico,2%,1%
Rhode Island,7%,6%
South Carolina,4%,3%
South Dakota,2%,1%
Tennessee,2%,1%
Texas,3%,2%
Utah,5%,4%
Vermont,6%,5%
Virgin Islands,2%,1%
Virginia,6%,5%
Washington,3%,2%
West Virginia,3%,2%
Wisconsin,7%,6%
Wyoming,1%,0%
Blank of Invalid,2%,1%
Other,2%,1%
