olderAge,onePar,twoPar
25,0,0
26,1000,500
27,2100,1100
28,3100,1600
29,4100,2100
30,5200,2600
31,6200,3200
32,7200,3700
33,8300,4200
34,9300,4700
35,10300,5300
36,11400,5800
37,12400,6300
38,13400,6800
39,14500,7400
40,1500,7900
41,15900,8100
42,16300,8300
43,16600,8500
44,17000,8600
45,17400,8800
46,17800,9000
47,18300,9200
48,18700,9400
49,19200,9700
50,19700,9900
51,20200,10100
52,20700,10400
53,21300,10600
54,21800,10900
55,22400,11100
56,23000,11400
57,23700,11700
58,24300,12000
59,25000,12300
60,25700,12600
61,26400,12900
62,27200,13200
63,27900,13600
64,28800,13900
65,29600,14300
